0,M. G. Industries,Faridabad,08048745710             
1,FurniTech,"Gulbai Tekra, Ahmedabad",08041948324             
2,Shri Giriraj Trading Co.,"Nangloi, New Delhi",08048764485             
3,Saini Plywood House,"Defence Colony, New Delhi",08048024482             
4,Supersil Architectural Product Private Limited,"Prahlad Nagar, Ahmedabad",08048017111             
5,Sr Solutions,"Vile Parle, Mumbai",08042780207             
6,Affa Tile Company,"Arumbakkam, Chennai",07971370151             
7,Interiorz Hub,"Suraj Kund Road Anangpur, Faridabad",08049462917             
8,S. R. Ceiling Solution & Interiors,"Ashok Vihar Phase II, Gurgaon",08048553160             
9,Difot International Trading Co.,"Kaloor, Thrissur",08045317600             
10,Adorn,"Chinchwad, Pune",08048007319             
11,Gypsonic Industries,"Nanpura, Surat",08048725785             
12,M/S Mascot Overseas,"MADHU VIHAR, New Delhi",08048763121             
13,Libo Interior Solutions Private Limited,"Nerul, Mumbai",08048404656             
14,Sharma Enterprises,"West Karawal Nagar, Delhi",07971372391             
15,Raghav Enterprises,"Nai Basti Dundahera, Noida",08048701109             
16,D.G. International,"Ashok Vihar Phase II, Gurgaon",08043257262             
17,Unidus Associates (A Unit Of Decofur India Pvt. Ltd.),"Kamrup Metropolitan, Guwahati",08048871128             
18,Shiva Industries,"Okhla Industrial Area, New Delhi",08048791874             
19,New Design Interior,"Santacruz East, Mumbai",08048941157             
20,Invogue Building Systems Private Limited,"Patparganj Industrial Area, Delhi",08048425106             
21,Bedi Enterprises,"Miller Ganj, Ludhiana",08048972955             
22,India Gypsum Point,"Sector 47, Gurgaon",08048800792             
23,Super Interior,"Paharganj, Delhi",08042962318             
24,Askom Overseas,"Sector 70, Noida",08048807176             
25,The Interio,"Sector 47, Gurgaon",08046054981             
26,Samyak Trading,"Jodhpur, Ahmedabad",08048420845             
27,M/s Citizen Projects,"Vaishali, Ghaziabad",08049673794             
28,Adhyan Interiors,"Ramesh Nagar, Delhi",07971337187             
29,ODD JOBS INDIA PRIVATE LIMITED,"Main Road Anna Nagar, Chennai",08048962124             
30,ELEGANT DECOR,"Sector 62, Noida",07971479781             
31,AD Decor,"Mumbra, Thane",08046044055             
32,Deckelite India Pvt Ltd,"Greater Noida, Gautam Budh Nagar",08037432201             
33,Classic Ceiling,"Adajan Patiya, Surat",08047005583             
34,Kingston Multi Products India Private Limited,"Pitampura, Delhi",08048790805             
35,Raj Construction Company,"Airoli, Navi Mumbai",08048925620             
36,Indian Glass & Plywood Centre,Chennai,08048715471             
37,Trident Holdings,"Mahadevapura, Bengaluru",08048848798             
38,Sumeru Tradelink Private Limited,"Sola, Ahmedabad",08043257221             
39,M. M. Enterprises,"West Saidapet, Chennai",08048007632             
40,Jai Bhavani International,"Moosapet, Hyderabad",08048573768             
41,National Fabrication Works,"Sector 51, Noida",08037442714             
42,Sas Home Theaters,"Suggatta Road, Bengaluru",08048415272             
43,Times Fiberfill Private Limited,"Salt Lake City, Kolkata",08048602739             
44,New Age False Ceiling Private Limited,"Empress City, Nagpur",08048762940             
45,Nagpal Enterprises,"Gill Road, Ludhiana",08048743056             
46,Gypsonite Industries Private Limited,"Kandivali East, Mumbai",08048078057             
47,Revive System,Ahmedabad,08043052644             
48,Shubham Sales Corporation,"Jamna Puri, Jaipur",08048588984             
49,Deviransh Enterprise,"Parul Nagar Society, Ahmedabad",08047018562             
50,Gupta Gypsum House,"GB Nagar, Noida",08048699158             
51,Lenore Designs,"New Tippasandra, Bengaluru",08048860352             
52,Overseas Interiors,"Khadki, Pune",08042535469             
53,Jayswal Agencies,"R T Nagar Kanakanagar, Bengaluru",08042537951             
54,Brahmani Enterprise,"Chhani Jakatnaka, Vadodara",08037429842             
55,Hindustan Plywood Company (Regd.),New Delhi,08048548901             
56,Mittal Buildwel,"Sahibabad, Ghaziabad",08048004037             
57,Balaji Gypsum Private Limited,"Koparkhairne, Navi Mumbai",07971387026             
58,Dec- Hom,"Old Delhi, Delhi",08048566017             
59,OM ALUMINIUM AND GLASS HOUSE,"Ganesh Nagar, New Delhi",08043257643             
60,Shiva Metal Enterprises,"Saroornagar, Hyderabad",08048617071             
61,Unique Interior Sales & Services,Pune,08045136821             
62,Kalyan Associates,"Ganj Peth, Pune",08048704500             
63,Y P Design,"Paharganj, Delhi",08048761742             
64,STK Associates,"Aluva, Kochi",08048960533             
65,Super Insulation & Aluminium,"Char Rasta, Vapi",08043045126             
66,Madha Industries,"Valasaravakkam, Chennai",08048407862             
67,Ceiling Trends,"Hari Nagar, New Delhi",08048613610             
68,Gyp Star,"Edappally, Kochi",08048105849             
69,Jatadhara Exmps,"Jubilee Hills, Hyderabad",08048726516             
70,Mac Enterprises,"Arumbakkam, Chennai",08048419285             
71,Navyug Traders,"Kirti Nagar, New Delhi",08048078700             
72,K K Constructions,Agra,07971481548             
73,S.G. Mistry,"Near Tata Ambika Show Room, Surat",08048025302             
74,M/S Sidra Interior,"Kurla West, Mumbai",07971481016             
75,AVANI ENTERPRISES,"Phursungi, Pune",07971469712             
76,R. S. Ceiling,"chandani Market, Kolkata",08037168162             
77,Chuni Lal Enterprises,"Miller Ganj, Ludhiana",08048928203             
78,Shri Balaji Multi Designs Private Limited,"Janta Nagar, Ludhiana",08048867154             
79,Sai Sales Corporation,"Wakad, Pune",08048087271             
80,Dynamic Enterprises,"Sector 37, Gurgaon",08048759859             
81,Sai Trading Corporation,"Thane District, Mumbai",08047016790             
82,GSD Interior Solution,Faridabad,08048847288             
83,Shree Balaji Interior,Pune,08037430741             
84,Lifestyle Interior,"Sector 66, Noida",08048112729             
85,Ceiling Solution,"Sector 38, Gurgaon",08048701797             
86,Bageshree Interiors,"Alkapuri, Vadodara",08048706091             
87,M C Enterprises,"Valasaravakkam, Chennai",08048920628             
88,True Value Interiors,"Egmore, Chennai",08046060146             
89,SnS Associates,"New Sanghavi, Pune",08048075719             
90,Sarah Decorative Solutions,Siliguri,08046033692             
91,Gypsum House,Jaipur,08046052595             
92,M/s N.K. Enterprises,"Nai Basti Dundahera, Noida",08048929794             
93,Shiv Corporation,"Sarkhej, Ahmedabad",08037429717             
94,Fibretex India Private Limited,"Sector 6, Faridabad",08046044844             
95,Unity Enterprises,"near sai raam plaza, Indore",08042963360             
96,Rihan Aluminum & Glass Work,"Ballabhgarh, Faridabad",08046073190             
97,Sun Shine Enterprises,"Goregaon East, Mumbai",07971372484             
98,RJ Thermocol & Gypsum 2x2 Ceiling,"BRTS Road, Surat",08046032686             
99,Sri Vyashnav Enterprises,"Serilingampally, Hyderabad",08048730963             
100,S K Ceiling,"Sakinaka, Mumbai",08048953099             
101,Shah Woodply,"Ambawadi, Ahmedabad",08048928184             
102,Intersil Metallic Products,"Sanand, Ahmedabad",08043041983             
103,Design Made Ceiling System,"Lashkaribag 10 no. Pool NBagpur, Nagpur",08048412718             
104,Mahboob Plaster Of Paris,"Malad East, Mumbai",08047027252             
105,Style Homez Incorporation,"Sector 32, Faridabad",08042536906             
106,Perfect Ceiling,"New Industrial Town, Faridabad",08048752998             
107,Bohare Construction Company,"Scheme No. 94, Indore",08048740412             
108,Preksha Interiors Private Limited,"Bodakdev, Ahmedabad",08048834441             
109,Shree Balaji Plasters,"Memnagar, Ahmedabad",08049471193             
110,Matoshri Interior,"Vile Parle, Mumbai",08048008440             
111,Strong Ceiling System,"Govandi, Mumbai",08048703910             
112,Samarth Interior,"Vile Parle, Mumbai",09769630257             
113,Punith Plaster & Wateproofing,"Nagavara, Bengaluru",08048711483             
114,Anandtraders Depot Private Limited,Gurgaon,08048014337             
115,Hindustan Interiors,"Jhotawara Road, Jaipur",08048929786             
116,Ceiling Decor,"PALDA, Indore",08048012350             
117,Ketan Agencies,"Gundavadi, Rajkot",08048403507             
118,Anaya Interiors,"Vikhroli East, Mumbai",07971373639             
119,S.E.V. Tiles Company Private Limited,"Arumbakkam, Chennai",08048799810             
120,Taparia Gypsum (India),"Tughlakabad, New Delhi",08048081404             
121,Mayur Kitchen & Interiors,"Nehru Nagar, Ghaziabad",08048870099             
122,The Wall Designers,"Gomti Nagar, Lucknow",08048833542             
123,Devraj Traders,"Jawahar Nagar, Kolhapur",08048940822             
124,Aios Homes India Private Limited,Noida,08048752946             
125,Metagear Infra,"phase 2, Chandigarh",08048110995             
126,Paritosh Interior,"Teka Naka Kamptee Road, Nagpur",08048615608             
127,Vinayak Enterprises,Indore,08048982874             
128,Jamal Dada Chunawala & Sons,"Bhuleshwar, Mumbai",08048025261             
129,Shree Ram Engineering,"Ghatlodia, Ahmedabad",08048719802             
130,National Traders,"Mayapuri, New Delhi",08048989537             
131,S K Traders,"Sector 9, Noida",08047005186             
132,S. P. Decoraters,"Nandini Layout, Bengaluru",08048920737             
133,Jainsm Martell Overseas Pvt. Ltd.,"Sahibabad, Ghaziabad",08048019102             
134,Vision Glass,Pune,08048727108             
135,Specthrum,"Industrial Area Phase 2, Chandigarh",08045315858             
136,Professional Designs,Noida,07971471740             
137,Brixwell Interiors,Jaipur,08048939639             
138,,,07971385969             
139,,,08048731183             
